date_local,wx_record_id,zone,recomputed_kwh,airtable_kwh_auto,delta_kwh,delta_pct,status
2026-01-12,recOqMEo2PY6OrRqM,Stairs,45.938,45.938,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,LR,11.239,11.239,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Kitchen,7.073,7.073,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Up Bath,0.536,0.536,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,MANC,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Master,12.430,12.430,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Den,24.448,24.448,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Guest Bath,0.381,0.381,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Stairs,21.580,21.580,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,LR,5.946,5.946,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Kitchen,4.831,4.831,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Up Bath,0.333,0.333,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,MANC,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Master,19.914,19.914,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Den,26.154,26.154,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Guest Bath,0.346,0.346,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Stairs,11.047,11.047,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,LR,2.533,2.533,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Kitchen,1.961,1.961,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Up Bath,0.076,0.076,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,MANC,0.000,0.000,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Master,11.322,11.322,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Den,32.130,32.130,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Guest Hall,0.668,0.668,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Guest Bath,0.013,0.013,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Entryway,7.054,7.054,0.000,0.00,OK
2026-01-14,recsSbV6CepkKI9HI,Guest Room,0.000,0.000,0.000,0.00,OK
